partner_name,model_name,year,car_cnt,car_sticker_cnt
partner_6189,model_381,year_27,1,0
partner_6189,model_589,year_36,1,0
partner_288,model_600,year_27,1,0
partner_995,model_361,year_24,1,0
partner_3640,model_66,year_17,1,0
partner_409,model_164,year_2,1,0
partner_3007,model_20,year_23,1,0
partner_6689,model_589,year_32,1,0
partner_5611,model_352,year_24,1,0
partner_1515,model_62,year_21,1,0
partner_1515,model_364,year_24,1,0
partner_1515,model_589,year_35,1,1
partner_1515,model_380,year_23,1,0
partner_1515,model_440,year_24,1,0
partner_1601,model_410,year_27,1,0
partner_2896,model_416,year_32,1,0
partner_5024,model_288,year_19,1,1
partner_5024,model_609,year_19,1,1
partner_2441,model_521,year_27,1,0
partner_4420,model_172,year_21,1,0
partner_3976,model_384,year_32,1,0
partner_3976,model_384,year_35,2,1
partner_3976,model_384,year_36,1,1
partner_3976,model_384,year_37,1,0
partner_3976,model_594,year_28,1,0
partner_3976,model_589,year_36,2,2
partner_3976,model_589,year_37,1,1
partner_2723,model_615,year_27,1,0
partner_7022,model_589,year_35,1,1
partner_7022,model_410,year_29,1,0
partner_1491,model_82,year_36,1,0
partner_4753,model_416,year_35,1,0
partner_8643,model_436,year_29,1,1
partner_8643,model_494,year_31,1,0
partner_8643,model_494,year_32,1,0
partner_8643,model_549,year_28,1,0
partner_359,model_549,year_25,1,0
partner_8025,model_398,year_26,1,0
partner_2250,model_71,year_28,1,0
partner_2250,model_346,year_28,1,0
partner_2250,model_600,year_28,1,0
partner_4435,model_549,year_23,1,0
partner_8659,model_609,year_23,1,0
partner_6732,model_322,year_21,1,0
partner_5968,model_260,year_28,1,0
partner_2562,model_416,year_31,1,0
partner_2562,model_35,year_35,1,0
partner_2562,model_398,year_31,1,0
partner_4493,model_361,year_22,1,0
partner_4493,model_361,year_28,2,0
partner_4493,model_589,year_29,1,0
partner_4493,model_67,year_18,1,0
partner_1504,model_7,year_29,1,1
partner_3936,model_218,year_25,1,1
partner_167,model_546,year_34,1,0
partner_8877,model_62,year_22,1,0
partner_7937,model_494,year_31,1,0
partner_2689,model_188,year_33,1,1
partner_3594,model_188,year_29,1,0
partner_3579,model_554,year_20,1,0
partner_1275,model_494,year_31,1,0
partner_1275,model_589,year_35,1,0
partner_1275,model_439,year_31,1,1
partner_596,model_549,year_31,1,1
partner_4498,model_1,year_26,1,0
partner_4498,model_75,year_25,1,1
partner_4498,model_334,year_25,1,0
partner_7117,model_485,year_34,1,0
partner_7316,model_531,year_17,1,1
partner_2617,model_256,year_22,1,0
partner_1978,model_600,year_28,1,1
partner_8819,model_576,year_20,1,0
partner_8819,model_416,year_31,1,0
partner_8819,model_549,year_34,1,0
partner_5012,model_589,year_32,1,1
partner_7649,model_360,year_22,1,0
